mean_score,total_steps,std_score,max_score,min_score
-134.95003742881647,30,0.0,-134.95003742881647,-134.95003742881647
-140.90393579651789,60,0.0,-140.90393579651789,-140.90393579651789
-137.57815623291287,90,0.0,-137.57815623291287,-137.57815623291287
-146.77156328769598,120,0.0,-146.77156328769598,-146.77156328769598
-151.52649845298296,150,0.0,-151.52649845298296,-151.52649845298296
-124.43805857241784,180,0.0,-124.43805857241784,-124.43805857241784
-137.75411884969338,210,0.0,-137.75411884969338,-137.75411884969338
-138.93921221626786,240,0.0,-138.93921221626786,-138.93921221626786
-131.39814189026168,270,0.0,-131.39814189026168,-131.39814189026168
-131.0127610742507,300,0.0,-131.0127610742507,-131.0127610742507
-141.92095802857594,330,0.0,-141.92095802857594,-141.92095802857594
-127.07803868074421,360,0.0,-127.07803868074421,-127.07803868074421
-139.29055557763553,390,0.0,-139.29055557763553,-139.29055557763553
-139.1454779507871,420,0.0,-139.1454779507871,-139.1454779507871
-153.49437371719725,450,0.0,-153.49437371719725,-153.49437371719725
-136.43145881455763,480,0.0,-136.43145881455763,-136.43145881455763
-119.99771252911663,510,0.0,-119.99771252911663,-119.99771252911663
-127.09018077597938,540,0.0,-127.09018077597938,-127.09018077597938
-130.0118710928743,570,0.0,-130.0118710928743,-130.0118710928743
-144.72391893944095,600,0.0,-144.72391893944095,-144.72391893944095
-107.83608721516207,630,0.0,-107.83608721516207,-107.83608721516207
-108.14013494039567,660,0.0,-108.14013494039567,-108.14013494039567
-131.81970017558615,690,0.0,-131.81970017558615,-131.81970017558615
-123.78359074436142,720,0.0,-123.78359074436142,-123.78359074436142
-116.02389949883951,750,0.0,-116.02389949883951,-116.02389949883951
-112.43376480743575,780,0.0,-112.43376480743575,-112.43376480743575
-122.1819509098028,810,0.0,-122.1819509098028,-122.1819509098028
-105.26863258985762,840,0.0,-105.26863258985762,-105.26863258985762
-112.21523885705619,870,0.0,-112.21523885705619,-112.21523885705619
-117.03063167919201,900,0.0,-117.03063167919201,-117.03063167919201
-104.9260289424724,930,0.0,-104.9260289424724,-104.9260289424724
-105.40313425370607,960,0.0,-105.40313425370607,-105.40313425370607
-103.43890057146581,990,0.0,-103.43890057146581,-103.43890057146581
-105.17997212221879,1020,0.0,-105.17997212221879,-105.17997212221879
-107.3633135825296,1050,0.0,-107.3633135825296,-107.3633135825296
-106.49188360821728,1080,0.0,-106.49188360821728,-106.49188360821728
-99.34718269797987,1110,0.0,-99.34718269797987,-99.34718269797987
-101.23979111988102,1140,0.0,-101.23979111988102,-101.23979111988102
-106.70113359581644,1170,0.0,-106.70113359581644,-106.70113359581644
-92.23171890873206,1200,0.0,-92.23171890873206,-92.23171890873206
-106.49933964232555,1230,0.0,-106.49933964232555,-106.49933964232555
-94.21291824889104,1260,0.0,-94.21291824889104,-94.21291824889104
-105.58397999080108,1290,0.0,-105.58397999080108,-105.58397999080108
-96.34866247548192,1320,0.0,-96.34866247548192,-96.34866247548192
-97.9958778489077,1350,0.0,-97.9958778489077,-97.9958778489077
-105.73758497300449,1380,0.0,-105.73758497300449,-105.73758497300449
-97.22735109731364,1410,0.0,-97.22735109731364,-97.22735109731364
-104.58401443786394,1440,0.0,-104.58401443786394,-104.58401443786394
-97.89519678386367,1470,0.0,-97.89519678386367,-97.89519678386367
-99.13757383173144,1500,0.0,-99.13757383173144,-99.13757383173144
-99.38391884670516,1530,0.0,-99.38391884670516,-99.38391884670516
-104.64881982438489,1560,0.0,-104.64881982438489,-104.64881982438489
-97.41511040082361,1590,0.0,-97.41511040082361,-97.41511040082361
-94.73142047977022,1620,0.0,-94.73142047977022,-94.73142047977022
-103.34103124889863,1650,0.0,-103.34103124889863,-103.34103124889863
-104.22219060473697,1680,0.0,-104.22219060473697,-104.22219060473697
-100.14702075704297,1710,0.0,-100.14702075704297,-100.14702075704297
-101.7466429699343,1740,0.0,-101.7466429699343,-101.7466429699343
-94.02191110149312,1770,0.0,-94.02191110149312,-94.02191110149312
-113.22257860018448,1800,0.0,-113.22257860018448,-113.22257860018448
-93.15435523275501,1830,0.0,-93.15435523275501,-93.15435523275501
-91.49548158399313,1860,0.0,-91.49548158399313,-91.49548158399313
-103.1492390679436,1890,0.0,-103.1492390679436,-103.1492390679436
-100.97790632009216,1920,0.0,-100.97790632009216,-100.97790632009216
-94.05447916137445,1950,0.0,-94.05447916137445,-94.05447916137445
-87.47580947777972,1980,0.0,-87.47580947777972,-87.47580947777972
